state,region,month,aqi,PM2.5,NO2,CO,SO2,O3,health_risk
Jammu and Kashmir,North,January,131,57.95,17.08,4.73,16.58,36.23,Moderate
Jammu and Kashmir,North,February,107,38.13,13.58,3.63,8.57,27.2,Moderate
Jammu and Kashmir,North,March,111,40.37,11.26,2.53,14.75,32.1,Moderate
Jammu and Kashmir,North,April,80,25.66,14.73,2.26,10.72,17.04,Satisfactory
Jammu and Kashmir,North,May,84,39.78,11.18,2.91,9.92,23.92,Satisfactory
Jammu and Kashmir,North,June,62,24.77,11.96,1.75,5.99,16.16,Satisfactory
Jammu and Kashmir,North,July,54,19.97,9.98,1.13,3.6,12.66,Satisfactory
Jammu and Kashmir,North,August,55,18.46,7.19,1.45,5.62,12.59,Satisfactory
Jammu and Kashmir,North,September,83,36.25,12.04,2.88,6.13,16.79,Satisfactory
Jammu and Kashmir,North,October,117,35.62,17.66,4.47,15.65,32.1,Moderate
Jammu and Kashmir,North,November,106,35.36,11.9,2.85,5.78,31.22,Moderate
Jammu and Kashmir,North,December,167,77.44,25.12,3.67,9.7,38.63,Moderate
Himachal Pradesh,North,January,133,39.97,18.87,3.81,10.44,35.62,Moderate
Himachal Pradesh,North,February,116,41.93,13.77,2.44,6.23,33.39,Moderate
Himachal Pradesh,North,March,72,33.99,8.02,2.09,8.0,14.85,Satisfactory
Himachal Pradesh,North,April,62,25.51,8.96,2.18,3.18,13.22,Satisfactory
Himachal Pradesh,North,May,55,23.66,9.27,1.35,5.04,14.36,Satisfactory
Himachal Pradesh,North,June,64,23.58,7.06,1.93,4.47,16.85,Satisfactory
Himachal Pradesh,North,July,51,18.11,8.23,1.95,3.59,15.23,Satisfactory
Himachal Pradesh,North,August,55,25.61,8.47,1.74,7.25,13.43,Satisfactory
Himachal Pradesh,North,September,59,24.85,7.46,1.7,5.36,13.82,Satisfactory
Himachal Pradesh,North,October,84,33.57,13.12,2.67,8.59,23.44,Satisfactory
Himachal Pradesh,North,November,82,33.84,12.7,2.98,6.67,23.01,Satisfactory
Himachal Pradesh,North,December,145,69.2,16.84,4.3,12.47,34.67,Moderate
Punjab,North,January,268,122.12,40.77,10.0,22.63,70.28,Poor
Punjab,North,February,163,49.19,30.5,5.11,19.01,39.54,Moderate
Punjab,North,March,144,63.64,26.93,5.73,7.57,33.22,Moderate
Punjab,North,April,132,52.48,26.17,3.04,13.95,39.32,Moderate
Punjab,North,May,118,36.05,21.3,4.32,15.77,33.49,Moderate
Punjab,North,June,126,60.42,22.75,4.64,14.37,28.08,Moderate
Punjab,North,July,80,31.88,15.13,2.87,4.24,22.68,Satisfactory
Punjab,North,August,93,43.45,17.91,2.94,13.35,21.74,Satisfactory
Punjab,North,September,111,53.36,15.27,3.93,15.73,22.61,Moderate
Punjab,North,October,141,48.57,26.53,4.75,20.74,37.65,Moderate
Punjab,North,November,175,73.86,24.14,5.82,11.19,38.95,Moderate
Punjab,North,December,226,71.54,38.12,4.6,22.94,60.37,Poor
Uttarakhand,North,January,149,49.08,26.63,4.93,15.3,36.49,Moderate
Uttarakhand,North,February,133,58.83,23.96,5.07,8.6,28.34,Moderate
Uttarakhand,North,March,81,30.14,11.63,2.61,4.16,22.88,Satisfactory
Uttarakhand,North,April,95,45.9,17.15,3.66,6.17,26.09,Satisfactory
Uttarakhand,North,May,78,36.5,13.83,2.01,8.07,20.21,Satisfactory
Uttarakhand,North,June,54,23.31,7.92,1.81,6.37,13.32,Satisfactory
Uttarakhand,North,July,66,26.09,10.93,2.35,6.52,18.49,Satisfactory
Uttarakhand,North,August,51,18.3,6.0,1.69,5.88,12.09,Satisfactory
Uttarakhand,North,September,70,31.51,8.41,2.13,4.93,18.71,Satisfactory
Uttarakhand,North,October,101,42.45,16.89,2.77,15.0,25.06,Moderate
Uttarakhand,North,November,98,35.51,10.67,3.65,8.35,25.46,Satisfactory
Uttarakhand,North,December,121,53.94,20.43,4.39,12.97,26.38,Moderate
Haryana,North,January,257,96.29,48.92,9.32,28.81,57.83,Poor
Haryana,North,February,196,75.04,31.79,6.86,20.46,41.51,Moderate
Haryana,North,March,163,56.48,24.28,6.39,15.89,37.44,Moderate
Haryana,North,April,133,58.47,21.71,3.15,8.42,32.11,Moderate
Haryana,North,May,149,46.06,19.15,3.1,10.93,38.91,Moderate
Haryana,North,June,127,54.99,22.59,4.81,13.62,35.71,Moderate
Haryana,North,July,106,31.9,15.58,3.3,10.0,28.75,Moderate
Haryana,North,August,114,40.24,14.66,2.32,13.71,27.89,Moderate
